"OrganizationID","MLocID","StationDes","AU_GNIS_Name","GNIS_Name","MonLocType","HUC12_Name","ELEV_Ft","AU_ID","WaterTypeCode","WaterBodyCode","ben_use_code","OWRD_Basin","EcoRegion2","EcoRegion3","wqstd_code","Pollu_ID","Calc_Crit","Combine_Result_Cmnts","Combine_Result","Activity_Type","SampleMedia","SampleSubmedia","SampleStartDate","SampleStartTime","SampleStartTZ","chr_uid","Char_Name","Char_Speciation","Sample_Fraction","CASNumber","Result_UID","Result_status","Result_Numeric","IRResultNWQSunit","ActDepthUnit","Result_Depth","act_depth_height","Result_Depth_Unit","Act_Depth_Top","Act_Depth_Top_Unit","Act_Depth_Bottom","Act_Depth_Bottom_Unit","Time_Basis","Statistical_Base","Statistic_N_Value","act_sam_compnt_name","lab_Comments","General_Comments","Analytical_method","QualifierAbbr","QualifierTxt","IDLType","IDLValue","IDLUnit","MDLType","MDLValue","MDLUnit","MRLType","MRLUnit","MRLValue","URLType","URLValue","URLUnit","TribalLand","Result_Operator","Result_Unit","IRWQSUnitName","Result_Type","analysis_comment","Alkalinity","Calcium","Chloride","Conductivity","DOC","Hardness","Magnesium","Organic.carbon","pH","Potassium","Sodium","Sulfate","Temperature..water","TOC"
"OREGONDEQ","10339-ORDEQ","Willamette River at Canby Ferry","Willamette River","Willamette River","River/Stream","Tanner Creek-Willamette River",53,"OR_SR_1709000704_88_104020",2,2,88,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-02-03,"14:53:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",60308342,"Final",0.54,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,"Method Detection Level",0.15,"ug/l","Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,24,6.45,3.43,72,1.64,24.5,2.04,NA,7.4,0.66,3.72,3.3,7.6,1.37
"OREGONDEQ","10339-ORDEQ","Willamette River at Canby Ferry","Willamette River","Willamette River","River/Stream","Tanner Creek-Willamette River",53,"OR_SR_1709000704_88_104020",2,2,88,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-02-03,"14:53:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",60308343,"Final",1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,"Method Detection Level",0.15,"ug/l","Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,24,6.45,3.43,72,1.64,24.5,2.04,NA,7.4,0.66,3.72,3.3,7.6,1.37
"OREGONDEQ","10339-ORDEQ","Willamette River at Canby Ferry","Willamette River","Willamette River","River/Stream","Tanner Creek-Willamette River",53,"OR_SR_1709000704_88_104020",2,2,88,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-06-30,"13:23:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",59642143,"Final",0.66,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,"Method Detection Level",0.15,"ug/l","Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,28,6.61,3.95,78,1.24,25.8,2.25,NA,7.5,0.92,4.94,2.88,21.9,1.18
"OREGONDEQ","10339-ORDEQ","Willamette River at Canby Ferry","Willamette River","Willamette River","River/Stream","Tanner Creek-Willamette River",53,"OR_SR_1709000704_88_104020",2,2,88,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-06-30,"13:23:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",59642144,"Final",0.58,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,"Method Detection Level",0.15,"ug/l","Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"=","ug/l","ug/l","Actual",NA,28,6.61,3.95,78,1.24,25.8,2.25,NA,7.5,0.92,4.94,2.88,21.9,1.18
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-04-18,"15:15:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",60346094,"Final",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,30,7.12,2.7,76,1.58,28.9,2.7,NA,7.3,0.7,4.5,2.86,14.5,1.42
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-04-18,"15:15:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",60346093,"Final",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,30,7.12,2.7,76,1.58,28.9,2.7,NA,7.3,0.7,4.5,2.86,14.5,1.42
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-08-09,"14:20:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",59678496,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,26,5.36,2.2,69,1.7,21.3,1.93,NA,8.7,0.94,4.93,3.19,21.2,1.49
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-08-09,"14:20:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",59678497,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,26,5.36,2.2,69,1.7,21.3,1.93,NA,8.7,0.94,4.93,3.19,21.2,1.49
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-12-06,"13:30:00","PST",832,"Copper",NA,"Dissolved","7440-50-8",60462996,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,"Method Detection Level",0.15,"ug/l","Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,23,5.86,2.25,65,2,22.3,1.87,NA,7.4,0.67,3.64,2.32,7.5,1.9
"OREGONDEQ","10344-ORDEQ","Willamette River at Wheatland Ferry","Willamette River","Willamette River","River/Stream","Lambert Slough-Willamette River",87,"OR_SR_1709000703_04_104013",2,2,4,"Willamette","MARINE WEST COAST FOREST","3",15,45,1,NA,NA,"Sample-Routine","Water","Surface Water",2016-12-06,"13:30:00","PST",832,"Copper",NA,"Total Recoverable","7440-50-8",60462997,"Final",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,"Metals in Waters by ICP/MS",NA,NA,NA,NA,NA,NA,NA,NA,"Minimum Reporting Level","ug/l",1.5,NA,NA,NA,0,"<","ug/l","ug/l","Actual",NA,23,5.86,2.25,65,2,22.3,1.87,NA,7.4,0.67,3.64,2.32,7.5,1.9
